GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
results-service,com.example.results.service,ResultadoService,37,102,0,0,7,21,4,6,4,6
results-service,com.example.results.config,CorsConfig,8,0,0,0,2,0,2,0,2,0
results-service,com.example.results.config,CorsConfig.new WebMvcConfigurer() {...},48,0,0,0,6,0,2,0,2,0
results-service,com.example.results.controller,ResultadoController,22,58,0,0,5,12,2,5,2,5
results-service,com.example.results.entity,Resultado,0,59,0,0,0,25,0,17,0,17
results-service,com.example.results.exceptions,GlobalExceptionHandler,99,41,0,0,20,8,5,2,5,2
results-service,com.example.results.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
results-service,com.example.labs.model,OrdenExamen,57,0,0,0,16,0,15,0,15,0
results-service,com.example.labs.model,Laboratorio,55,0,0,0,16,0,15,0,15,0
results-service,com.example.labs.model,Examen,38,0,0,0,11,0,11,0,11,0
results-service,com.example.labs.model,DetalleOrden,45,0,0,0,20,0,13,0,13,0
results-service,com.example.results,ResultsServiceApplication,5,3,0,0,2,1,1,1,1,1
